Ntotal t1 t2 t3 t4 t5 winner prob_superior2 prob_superior3 prob_superior4 prob_superior5 prob_futile2 prob_futile3 prob_futile4 prob_futile5
380 65 69 52 38 156 4 0.36 0.158 0.098 0.992 0.64 0.842 0.902 0.008
140 23 29 31 15 42 4 0.82 0.954 0.844 0.994 0.18 0.046 0.156 0.006
80 18 12 16 18 16 4 0.85 0.68 0.916 1 0.15 0.32 0.084 0
200 46 28 32 19 75 4 0.334 0.476 0.142 0.998 0.666 0.524 0.858 0.002
170 30 36 30 36 38 4 0.618 0.29 0.71 0.992 0.382 0.71 0.29 0.008
290 52 59 33 24 122 4 0.562 0.352 0.15 1 0.438 0.648 0.85 0
80 16 4 18 22 20 4 0.522 0.9 0.668 1 0.478 0.1 0.332 0
200 41 31 23 49 56 4 0.496 0.676 0.842 0.996 0.504 0.324 0.158 0.004
140 39 13 18 29 41 4 0.004 0.32 0.522 0.996 0.996 0.68 0.478 0.004
170 33 18 25 40 54 4 0.032 0.102 0.592 1 0.968 0.898 0.408 0
200 48 16 46 36 54 4 0.026 0.314 0.186 0.994 0.974 0.686 0.814 0.006
80 17 13 18 15 17 4 0.954 0.902 0.648 1 0.046 0.098 0.352 0
410 87 67 21 42 193 0 0.064 0.034 0.044 0.976 0.936 0.966 0.956 0.024
410 92 111 30 46 131 4 0.584 0.228 0.11 0.996 0.416 0.772 0.89 0.004
200 42 33 18 50 57 4 0.784 0.154 0.954 1 0.216 0.846 0.046 0
170 37 33 36 32 32 4 0.596 0.894 0.448 0.994 0.404 0.106 0.552 0.006
140 27 28 20 31 34 4 0.534 0.636 0.696 0.992 0.466 0.364 0.304 0.008
80 8 11 17 22 22 4 0.986 0.452 0.958 0.996 0.014 0.548 0.042 0.004
50 14 7 11 8 10 4 0.932 0.772 0.38 1 0.068 0.228 0.62 0
170 38 30 20 28 54 4 0.346 0.262 0.256 0.996 0.654 0.738 0.744 0.004
110 27 17 15 17 34 4 0.878 0.266 0.516 0.998 0.122 0.734 0.484 0.002
200 37 21 48 16 78 4 0.208 0.732 0.094 1 0.792 0.268 0.906 0
140 21 21 30 35 33 4 0.766 0.574 0.852 1 0.234 0.426 0.148 0
230 50 61 31 22 66 4 0.488 0.156 0.394 0.992 0.512 0.844 0.606 0.008
80 17 16 14 17 16 4 0.252 0.508 0.874 1 0.748 0.492 0.126 0
80 18 11 15 13 23 4 0.328 0.692 0.362 0.992 0.672 0.308 0.638 0.008
50 11 10 7 13 9 4 0.304 0.97 0.262 0.996 0.696 0.03 0.738 0.004
170 23 20 39 40 48 4 0.378 0.854 0.74 0.996 0.622 0.146 0.26 0.004
290 55 15 85 39 96 4 0.108 0.494 0.19 0.992 0.892 0.506 0.81 0.008
230 55 30 49 27 69 4 0.576 0.716 0.36 0.996 0.424 0.284 0.64 0.004
80 16 14 19 11 20 4 0.582 0.254 0.02 0.992 0.418 0.746 0.98 0.008
200 36 31 29 13 91 4 0.624 0.392 0.078 0.998 0.376 0.608 0.922 0.002
110 25 16 14 23 32 4 0.366 0.32 0.182 0.996 0.634 0.68 0.818 0.004
50 12 10 9 13 6 4 0.77 0.398 0.86 0.992 0.23 0.602 0.14 0.008
290 60 30 21 53 126 4 0.096 0.036 0.366 0.994 0.904 0.964 0.634 0.006
200 34 30 25 45 66 4 0.632 0.708 0.958 0.998 0.368 0.292 0.042 0.002
200 41 43 29 42 45 4 0.924 0.51 0.952 0.992 0.076 0.49 0.048 0.008
200 30 23 16 52 79 4 0.462 0.486 0.63 0.996 0.538 0.514 0.37 0.004
290 64 38 29 38 121 4 0.19 0.516 0.548 0.994 0.81 0.484 0.452 0.006
80 11 18 22 13 16 4 0.802 0.742 0.93 1 0.198 0.258 0.07 0
170 30 20 20 18 82 4 0.172 0.12 0.19 0.996 0.828 0.88 0.81 0.004
260 53 71 51 12 73 4 0.814 0.59 0.112 0.992 0.186 0.41 0.888 0.008
140 34 20 16 21 49 4 0.392 0.372 0.742 0.998 0.608 0.628 0.258 0.002
110 17 18 25 17 33 4 0.642 0.7 0.618 0.998 0.358 0.3 0.382 0.002
50 13 10 10 9 8 4 0.76 0.672 0.548 1 0.24 0.328 0.452 0
50 7 12 7 13 11 -1 0.978 0.98 0.96 1 0.022 0.02 0.04 0
200 36 49 30 28 57 4 0.622 0.432 0.55 0.998 0.378 0.568 0.45 0.002
200 39 20 14 23 104 4 0.062 0.096 0.22 0.996 0.938 0.904 0.78 0.004
50 11 10 11 7 11 4 0.938 0.788 0.452 1 0.062 0.212 0.548 0
230 35 56 24 18 97 4 0.304 0.028 0.072 0.996 0.696 0.972 0.928 0.004
230 46 47 25 20 92 4 0.714 0.204 0.114 1 0.286 0.796 0.886 0
230 49 42 41 46 52 4 0.762 0.578 0.43 0.996 0.238 0.422 0.57 0.004
140 19 31 22 29 39 4 0.186 0.196 0.474 0.992 0.814 0.804 0.526 0.008
140 21 22 23 31 43 4 0.506 0.31 0.664 0.996 0.494 0.69 0.336 0.004
230 48 15 17 82 68 4 0.08 0.158 0.866 0.996 0.92 0.842 0.134 0.004
110 15 20 24 25 26 4 0.81 0.93 0.306 1 0.19 0.07 0.694 0
260 40 68 32 41 79 4 0.656 0.288 0.67 0.998 0.344 0.712 0.33 0.002
200 32 13 61 47 47 4 0.08 0.892 0.662 0.996 0.92 0.108 0.338 0.004
290 54 58 62 28 88 4 0.394 0.522 0.03 0.994 0.606 0.478 0.97 0.006
140 36 23 19 9 53 4 0.466 0.478 0.306 1 0.534 0.522 0.694 0
260 41 68 34 21 96 4 0.286 0.064 0.198 0.996 0.714 0.936 0.802 0.004
170 41 19 7 12 91 4 0.136 0.014 0.06 0.994 0.864 0.986 0.94 0.006
80 14 11 15 20 20 4 0.21 0.528 0.56 0.994 0.79 0.472 0.44 0.006
50 8 18 9 8 7 4 0.944 0.972 0.858 0.994 0.056 0.028 0.142 0.006
140 31 20 9 36 44 4 0.278 0.066 0.86 1 0.722 0.934 0.14 0
50 10 9 5 12 14 4 0.774 0.546 0.59 1 0.226 0.454 0.41 0
380 97 49 56 37 141 4 0.516 0.12 0.206 0.994 0.484 0.88 0.794 0.006
230 40 44 62 21 63 4 0.654 0.662 0.2 0.996 0.346 0.338 0.8 0.004
260 48 25 35 14 138 4 0.05 0.424 0.04 0.994 0.95 0.576 0.96 0.006
50 9 11 9 10 11 4 0.78 0.904 0.79 1 0.22 0.096 0.21 0
110 24 20 12 12 42 4 0.392 0.082 0.434 0.998 0.608 0.918 0.566 0.002
170 40 37 32 9 52 4 0.912 0.142 0.02 0.994 0.088 0.858 0.98 0.006
50 8 13 7 15 7 4 0.966 0.8 0.688 1 0.034 0.2 0.312 0
140 31 9 30 24 46 4 0.096 0.772 0.778 0.998 0.904 0.228 0.222 0.002
110 21 24 26 24 15 4 0.846 0.78 0.794 0.992 0.154 0.22 0.206 0.008
170 58 33 16 29 34 -1 0.982 0.946 0.902 1 0.018 0.054 0.098 0
50 11 6 12 9 12 4 0.938 0.808 0.89 0.996 0.062 0.192 0.11 0.004
200 45 56 18 31 50 4 0.806 0.144 0.524 0.998 0.194 0.856 0.476 0.002
80 20 17 21 12 10 4 0.828 0.8 0.844 0.998 0.172 0.2 0.156 0.002
50 9 8 9 13 11 4 0.88 0.99 0.866 0.994 0.12 0.01 0.134 0.006
320 79 39 67 33 102 4 0.194 0.338 0.39 1 0.806 0.662 0.61 0
110 10 13 25 23 39 4 0.356 0.648 0.61 0.992 0.644 0.352 0.39 0.008
140 33 8 15 35 49 4 0.004 0.292 0.554 1 0.996 0.708 0.446 0
110 22 14 25 20 29 4 0.52 0.762 0.848 0.992 0.48 0.238 0.152 0.008
140 29 29 23 22 37 4 0.334 0.088 0.476 0.998 0.666 0.912 0.524 0.002
320 66 69 50 65 70 4 0.686 0.8 0.752 0.998 0.314 0.2 0.248 0.002
140 29 30 18 35 28 4 0.84 0.718 0.906 0.994 0.16 0.282 0.094 0.006
110 21 14 16 31 28 4 0.114 0.224 0.708 0.996 0.886 0.776 0.292 0.004
